# Century  AvgTemp  MaxTemp  MinTemp
"19th (1851-1899)"  8.1334  13.9745  2.1524
"20th (1900-1999)"  8.6377  14.3940  2.8625
"21st (2000-2015)"  9.5421  15.2855  3.8599
